id,title,description,attributes
1,Nike Shoes,Stylish casual sneakers,"color: red, size: 7, gender: Men, category: Running, price: $62.42, stock: 9"
2,Nike Shoes,Stylish casual sneakers,"color: black, size: 12, gender: Unisex, category: Training, price: $105.88, stock: 45"
3,Asics Shoes,Comfortable sports shoes,"color: red, size: 11, gender: Men, category: Casual, price: $180.37, stock: 19"
4,Puma Trainers,High-performance running shoes,"color: grey, size: 12, gender: Women, category: Outdoor, price: $197.66, stock: 17"
5,Puma Trainers,High-performance running shoes,"color: red, size: 10, gender: Men, category: Running, price: $84.04, stock: 18"
6,Adidas Shoes,Durable outdoor shoes,"color: grey, size: 9, gender: Men, category: Running, price: $81.25, stock: 26"
7,Adidas Trainers,Durable outdoor shoes,"color: black, size: 11, gender: Men, category: Casual, price: $125.62, stock: 6"
8,Asics Trainers,Lightweight training shoes,"color: blue, size: 6, gender: Women, category: Outdoor, price: $195.02, stock: 27"
9,Reebok Trainers,Stylish casual sneakers,"color: green, size: 8, gender: Women, category: Training, price: $52.01, stock: 19"
10,Asics Shoes,High-performance running shoes,"color: green, size: 12, gender: Unisex, category: Casual, price: $120.19, stock: 31"
11,Nike Shoes,Stylish casual sneakers,"color: grey, size: 11, gender: Men, category: Outdoor, price: $169.13, stock: 16"
12,Reebok Shoes,Durable outdoor shoes,"color: blue, size: 12, gender: Men, category: Training, price: $162.75, stock: 38"
13,Adidas Trainers,Stylish casual sneakers,"color: blue, size: 9, gender: Men, category: Training, price: $55.76, stock: 13"
14,Adidas Trainers,Stylish casual sneakers,"color: red, size: 7, gender: Men, category: Outdoor, price: $125.71, stock: 40"
15,Nike Sneakers,Lightweight training shoes,"color: black, size: 6, gender: Unisex, category: Running, price: $139.5, stock: 43"
16,Adidas Trainers,Durable outdoor shoes,"color: red, size: 7, gender: Women, category: Running, price: $75.81, stock: 14"
17,Asics Shoes,Comfortable sports shoes,"color: red, size: 9, gender: Men, category: Running, price: $117.5, stock: 21"
18,Reebok Trainers,Lightweight training shoes,"color: green, size: 12, gender: Women, category: Casual, price: $130.49, stock: 25"
19,Asics Trainers,Durable outdoor shoes,"color: white, size: 7, gender: Women, category: Casual, price: $110.54, stock: 30"
20,Asics Trainers,Comfortable sports shoes,"color: white, size: 11, gender: Men, category: Training, price: $150.96, stock: 29"
21,Nike Trainers,High-performance running shoes,"color: blue, size: 8, gender: Unisex, category: Running, price: $196.72, stock: 18"
22,Reebok Trainers,Comfortable sports shoes,"color: blue, size: 8, gender: Unisex, category: Outdoor, price: $122.4, stock: 15"
23,Reebok Sneakers,High-performance running shoes,"color: white, size: 12, gender: Men, category: Training, price: $175.96, stock: 33"
24,Puma Sneakers,Lightweight training shoes,"color: white, size: 12, gender: Men, category: Casual, price: $167.53, stock: 22"
25,Asics Trainers,Durable outdoor shoes,"color: green, size: 6, gender: Men, category: Training, price: $104.16, stock: 49"
26,Adidas Shoes,Lightweight training shoes,"color: blue, size: 11, gender: Unisex, category: Casual, price: $110.68, stock: 2"
27,Reebok Sneakers,High-performance running shoes,"color: red, size: 11, gender: Men, category: Running, price: $130.76, stock: 31"
28,Adidas Sneakers,High-performance running shoes,"color: grey, size: 12, gender: Women, category: Casual, price: $137.19, stock: 44"
29,Asics Trainers,High-performance running shoes,"color: white, size: 12, gender: Men, category: Running, price: $75.87, stock: 28"
30,Asics Sneakers,Lightweight training shoes,"color: black, size: 6, gender: Unisex, category: Running, price: $77.64, stock: 23"
31,Asics Trainers,Lightweight training shoes,"color: white, size: 11, gender: Women, category: Casual, price: $191.13, stock: 36"
32,Reebok Shoes,Durable outdoor shoes,"color: blue, size: 6, gender: Unisex, category: Casual, price: $78.93, stock: 41"
33,Adidas Trainers,Lightweight training shoes,"color: green, size: 12, gender: Unisex, category: Running, price: $92.73, stock: 40"
34,Adidas Shoes,Lightweight training shoes,"color: black, size: 8, gender: Unisex, category: Casual, price: $122.74, stock: 13"
35,Reebok Shoes,High-performance running shoes,"color: blue, size: 9, gender: Men, category: Outdoor, price: $105.87, stock: 8"
36,Adidas Trainers,Durable outdoor shoes,"color: black, size: 11, gender: Women, category: Casual, price: $53.5, stock: 3"
37,Nike Shoes,High-performance running shoes,"color: grey, size: 8, gender: Women, category: Running, price: $83.15, stock: 13"
38,Puma Shoes,Stylish casual sneakers,"color: grey, size: 10, gender: Women, category: Casual, price: $182.81, stock: 49"
39,Reebok Trainers,Lightweight training shoes,"color: red, size: 6, gender: Men, category: Running, price: $153.04, stock: 47"
40,Nike Shoes,Durable outdoor shoes,"color: grey, size: 8, gender: Unisex, category: Training, price: $95.45, stock: 1"
41,Reebok Sneakers,Lightweight training shoes,"color: red, size: 12, gender: Unisex, category: Training, price: $157.08, stock: 8"
42,Adidas Sneakers,Stylish casual sneakers,"color: green, size: 12, gender: Unisex, category: Running, price: $79.6, stock: 21"
43,Puma Trainers,Stylish casual sneakers,"color: white, size: 10, gender: Women, category: Training, price: $173.9, stock: 48"
44,Reebok Sneakers,Durable outdoor shoes,"color: grey, size: 11, gender: Unisex, category: Casual, price: $174.84, stock: 48"
45,Nike Sneakers,Stylish casual sneakers,"color: black, size: 11, gender: Women, category: Outdoor, price: $59.33, stock: 30"
46,Puma Sneakers,Lightweight training shoes,"color: black, size: 8, gender: Unisex, category: Running, price: $74.78, stock: 20"
47,Asics Sneakers,High-performance running shoes,"color: black, size: 12, gender: Unisex, category: Running, price: $163.36, stock: 17"
48,Asics Sneakers,Durable outdoor shoes,"color: black, size: 8, gender: Women, category: Casual, price: $110.99, stock: 5"
49,Asics Trainers,Lightweight training shoes,"color: white, size: 6, gender: Women, category: Outdoor, price: $54.25, stock: 1"
50,Puma Sneakers,Stylish casual sneakers,"color: green, size: 12, gender: Men, category: Outdoor, price: $106.89, stock: 6"
